平仮名,UNICODE
"あ","U+1B002"
"あ",""
"あ","U+1B005"
"あ","U+1B003"
"あ","U+1B004"
"い","U+1B006"
"い","U+1B007"
"い","U+1B008"
"い","U+1B009"
"う","U+1B00A"
"う","U+1B00B"
"う","U+1B00C"
"う","U+1B00D"
"う","U+1B00E"
"え",""
"え","U+1B001"
"え","U+1B00F"
"え","U+1B010"
"え","U+1B011"
"え","U+1B012"
"え","U+1B013"
"お","U+1B014"
"お","U+1B015"
"お","U+1B016"
"か","U+1B017"
"か","U+1B018"
"か","U+1B019"
"か","U+1B01A"
"か",""
"か","U+1B01B"
"か","U+1B022"
"か","U+1B01C"
"か",""
"か","U+1B01D"
"か","U+1B01E"
"か","U+1B01F"
"か","U+1B020"
"か","U+1B021"
"き","U+1B023"
"き",""
"き","U+1B024"
"き","U+1B025"
"き","U+1B026"
"き","U+1B027"
"き","U+1B028"
"き","U+1B02A"
"く","U+1B02B"
"く","U+1B02C"
"く","U+1B02D"
"く","U+1B02E"
"く","U+1B02F"
"く","U+1B030"
"く","U+1B031"
"け","U+1B033"
"け","U+1B034"
"け","U+1B035"
"け","U+1B036"
"け","U+1B037"
"こ","U+1B038"
"こ",""
"こ","U+1B039"
"こ","U+1B03B"
"こ","U+1B03A"
"さ","U+1B03C"
"さ","U+1B03D"
"さ","U+1B03E"
"さ","U+1B03F"
"さ","U+1B040"
"さ","U+1B041"
"さ","U+1B042"
"さ","U+1B043"
"さ",""
"し","U+1B044"
"し","U+1B045"
"し","U+1B046"
"し","U+1B047"
"し","U+1B048"
"し","U+1B049"
"す","U+1B04A"
"す","U+1B04B"
"す",""
"す","U+1B04C"
"す","U+1B04D"
"す","U+1B04E"
"す",""
"す","U+1B04F"
"す","U+1B050"
"す","U+1B051"
"せ","U+1B052"
"せ","U+1B053"
"せ","U+1B055"
"せ",""
"せ","U+1B056"
"そ","U+1B057"
"そ","U+1B058"
"そ","U+1B059"
"そ","U+1B05A"
"そ","U+1B05B"
"そ","U+1B05C"
"そ",""
"そ","U+1B05D"
"た","U+1B05E"
"た","U+1B05F"
"た","U+1B060"
"た",""
"た",""
"た","U+1B061"
"ち","U+1B062"
"ち","U+1B063"
"ち","U+1B064"
"ち","U+1B066"
"ち","U+1B067"
"ち","U+1B068"
"つ","U+1B069"
"つ","U+1B06A"
"つ","U+1B06D"
"つ","U+1B06B"
"つ","U+1B06C"
"て","U+1B06E"
"て","U+1B06F"
"て","U+1B070"
"て","U+1B071"
"て","U+1B072"
"て","U+1B073"
"て","U+1B074"
"て","U+1B075"
"て","U+1B076"
"と","U+1B077"
"と","U+1B078"
"と","U+1B079"
"と",""
"と",""
"と","U+1B07A"
"と","U+1B07B"
"と","U+1B07C"
"と","U+1B07D"
"な","U+1B07E"
"な","U+1B07F"
"な","U+1B080"
"な","U+1B081"
"な","U+1B082"
"な","U+1B083"
"な","U+1B084"
"な","U+1B085"
"な","U+1B086"
"に","U+1B087"
"に","U+1B088"
"に","U+1B089"
"に","U+1B08A"
"に","U+1B08B"
"に","U+1B08C"
"に","U+1B08E"
"に","U+1B08D"
"ぬ","U+1B08F"
"ぬ","U+1B091"
"ね","U+1B098"
"ね","U+1B092"
"ね","U+1B094"
"ね","U+1B096"
"ね","U+1B097"
"の","U+1B099"
"の","U+1B09A"
"の","U+1B09B"
"の","U+1B09C"
"の","U+1B09D"
"の",""
"は","U+1B09E"
"は","U+1B09F"
"は","U+1B0A0"
"は","U+1B0A1"
"は","U+1B0A2"
"は","U+1B0A3"
"は","U+1B0A4"
"は","U+1B0A5"
"は","U+1B0A6"
"は",""
"は","U+1B0A7"
"は","U+1B0A8"
"ひ",""
"ひ","U+1B0A9"
"ひ","U+1B0AA"
"ひ","U+1B0AB"
"ひ","U+1B0AC"
"ひ","U+1B0AD"
"ひ","U+1B0AE"
"ひ","U+1B0AF"
"ふ","U+1B0B0"
"ふ","U+1B0B1"
"ふ","U+1B0B2"
"へ","U+1B0B3"
"へ","U+1B0B5"
"へ","U+1B0B6"
"へ","U+1B0B7"
"へ","U+1B0B9"
"ほ","U+1B0BA"
"ほ",""
"ほ","U+1B0BB"
"ほ",""
"ほ","U+1B0BC"
"ほ","U+1B0BD"
"ほ","U+1B0BE"
"ほ","U+1B0C0"
"ほ",""
"ほ","U+1B0BF"
"ま","U+1B0C2"
"ま","U+1B0C3"
"ま","U+1B0C4"
"ま","U+1B0C5"
"ま","U+1B0C6"
"ま","U+1B0C7"
"ま","U+1B0C8"
"み","U+1B0C9"
"み","U+1B0CA"
"み","U+1B0CB"
"み","U+1B0CC"
"み","U+1B0CD"
"み","U+1B0CE"
"み","U+1B0CF"
"む","U+1B11E"
"む","U+1B0D1"
"む","U+1B0D2"
"む","U+1B0D3"
"め","U+1B0D4"
"め","U+1B0D5"
"め","U+1B0D6"
"も","U+1B0D7"
"も","U+1B0D8"
"も","U+1B0D9"
"も",""
"も",""
"も","U+1B0DA"
"も",""
"も","U+1B0DB"
"も","U+1B0DC"
"や","U+1B0DD"
"や","U+1B0DE"
"や","U+1B0E2"
"や","U+1B0DF"
"や","U+1B0E1"
"ゆ","U+1B0E4"
"ゆ","U+1B0E5"
"ゆ","U+1B0E6"
"ゆ",""
"よ","U+1B0E8"
"よ","U+1B0EA"
"よ","U+1B0EB"
"よ","U+1B0EC"
"ら","U+1B0ED"
"ら","U+1B0EE"
"ら",""
"ら","U+1B0F0"
"り","U+1B0F1"
"り","U+1B0F2"
"り","U+1B0F3"
"り","U+1B0F4"
"り","U+1B0F5"
"り","U+1B0F6"
"り","U+1B0F7"
"る","U+1B0F8"
"る","U+1B0F9"
"る","U+1B0FA"
"る","U+1B0FB"
"る","U+1B0FC"
"る","U+1B0FD"
"れ","U+1B0FE"
"れ",""
"れ","U+1B0FF"
"れ","U+1B100"
"れ","U+1B101"
"ろ","U+1B102"
"ろ","U+1B103"
"ろ","U+1B104"
"ろ","U+1B105"
"ろ","U+1B106"
"ろ","U+1B107"
"わ","U+1B108"
"わ","U+1B109"
"わ","U+1B10A"
"わ","U+1B10B"
"ゐ","U+1B10D"
"ゐ","U+1B10E"
"ゐ","U+1B111"
"ゑ","U+1B112"
"ゑ",""
"ゑ","U+1B113"
"ゑ","U+1B114"
"を","U+1B116"
"を","U+1B117"
"を","U+1B118"
"を","U+1B119"
"を","U+1B11A"
"を","U+1B11B"
"を","U+1B11C"
